# Major Powers!
UNN	= "countries/United Nations.txt"
USA	= "countries/USA.txt"
BRA	= "countries/Brazil.txt"
CAN	= "countries/Canada.txt"
CHC	= "countries/Communist China.txt"
CWN	= "countries/Commonwealth of Nations.txt"
EUU = "countries/European Union.txt"
SOV	= "countries/Russia.txt"

# Secondary Powers
IND	= "countries/India.txt"
CSA	= "countries/Confederate States.txt"
ENG	= "countries/United Kingdom.txt"
FRA	= "countries/France.txt"
GER	= "countries/Germany.txt"
ITA	= "countries/Italy.txt"
JAP	= "countries/Japan.txt"

# Third Powers
MEX	= "countries/Mexico.txt"
ALG	= "countries/Algeria.txt"
ARG	= "countries/Argentina.txt"
AST	= "countries/Australia.txt"
COL	= "countries/Colombia.txt"
EGY	= "countries/Egypt.txt"
ETH	= "countries/Ethiopia.txt"
GHN	= "countries/Ghana.txt"
INO	= "countries/Indonesia.txt"
KAZ	= "countries/Kazakhstan.txt"
KEN	= "countries/Kenya.txt"
KOR	= "countries/South Korea.txt"
NIG	= "countries/Nigeria.txt"
PAK	= "countries/Pakistan.txt"
PER	= "countries/Iran.txt"
POL	= "countries/Poland.txt"
QUE	= "countries/Quebec.txt"
SAF	= "countries/South Africa.txt"
SAU	= "countries/Saudi Arabia.txt"
SIA	= "countries/Thailand.txt"
SPA	= "countries/Spain.txt"
TUR	= "countries/Turkey.txt"
UKR	= "countries/Ukraine.txt"
VEN	= "countries/Venezuela.txt"
VIE	= "countries/Vietnam.txt"

# European Union
AUS	= "countries/Austria.txt"
BEL	= "countries/Belgium.txt"
BUL	= "countries/Bulgaria.txt"
CYP	= "countries/Cyprus.txt"
CZR	= "countries/Czech Republic.txt"
CZE	= "countries/Czechoslovakia.txt"
DEN	= "countries/Denmark.txt"
EST	= "countries/Estonia.txt"
FAR	= "countries/Faroe Islands.txt"
FIN	= "countries/Finland.txt"
FLA	= "countries/Flanders.txt"
GRE	= "countries/Greece.txt"
HUN	= "countries/Hungary.txt"
IRE	= "countries/Ireland.txt"
LAT	= "countries/Latvia.txt"
LIT	= "countries/Lithuania.txt"
LUX	= "countries/Luxembourg.txt"
MLT	= "countries/Malta.txt"
HOL	= "countries/Netherlands.txt"
NCY	= "countries/Northern Cyprus.txt"
POR	= "countries/Portugal.txt"
ROM	= "countries/Romania.txt"
SCO	= "countries/Scotland.txt"
SLO	= "countries/Slovakia.txt"
SLV	= "countries/Slovenia.txt"
SWE	= "countries/Sweden.txt"

# Rest of Europe
ALB	= "countries/Albania.txt"
ABK	= "countries/Abkhazia.txt"
ARM	= "countries/Armenia.txt"
AZB	= "countries/Azerbaijan.txt"
BLR	= "countries/Belarus.txt"
BOS	= "countries/Bosnia.txt"
CAT	= "countries/Catalonia.txt"
CRO	= "countries/Croatia.txt"
GEO	= "countries/Georgia.txt"
GRT	= "countries/Gibraltar.txt"
GRL	= "countries/Greenland.txt"
ICL	= "countries/Iceland.txt"
KOS	= "countries/Kosovo.txt"
MCD	= "countries/Macedonia.txt"
MOL	= "countries/Moldova.txt"
MTN	= "countries/Montenegro.txt"
NOR	= "countries/Norway.txt"
SER	= "countries/Serbia.txt"
SRM	= "countries/Serbia Montenegro.txt"
RSP	= "countries/Republika Srpska.txt"
SWI	= "countries/Switzerland.txt"
TSN	= "countries/Transnistria.txt"
WLL	= "countries/Wallonia.txt"
YUG	= "countries/Yugoslavia.txt"

# Asia
AFG	= "countries/Afghanistan.txt"
BAH	= "countries/Bahrain.txt"
BGL	= "countries/Bangladesh.txt"
BHU	= "countries/Bhutan.txt"
BRU	= "countries/Brunei.txt"
BUR	= "countries/Burma.txt"
CMB	= "countries/Cambodia.txt"
ETR	= "countries/East Timor.txt"
ETK	= "countries/East Turkestan.txt"
FSY	= "countries/Free Syria.txt"
GZS	= "countries/Gaza.txt"
CGX	= "countries/Guangxi.txt"
HNK	= "countries/Hong Kong.txt"
INM	= "countries/Inner Mongolia.txt"
IRQ	= "countries/Iraq.txt"
IEA	= "countries/Islamic Emirate of Afghanistan.txt"
ISR	= "countries/Israel.txt"
JOR	= "countries/Jordan.txt"
KUR	= "countries/Kurdistan.txt"
KWT	= "countries/Kuwait.txt"
KYG	= "countries/Kyrgyzstan.txt"
LAO	= "countries/Laos.txt"
LEB	= "countries/Lebanon.txt"
MCU	= "countries/Macau.txt"
MLY	= "countries/Malaysia.txt"
MLD	= "countries/Maldives.txt"
MON	= "countries/Mongolia.txt"
NEP	= "countries/Nepal.txt"
NIX	= "countries/Ningxia.txt"
PRK	= "countries/North Korea.txt"
OMN	= "countries/Oman.txt"
PAL	= "countries/Palestine.txt"
PHI	= "countries/Philippines.txt"
QTR	= "countries/Qatar.txt"
SAR	= "countries/Sarawak.txt"
SIB	= "countries/Siberia.txt"
SGP	= "countries/Singapore.txt"
IOT	= "countries/British Indian Ocean Territory.txt"
SOT	= "countries/South Ossetia.txt"
SRL	= "countries/Sri Lanka.txt"
SYR	= "countries/Syria.txt"
ROC	= "countries/Republic of China.txt"
TWN	= "countries/Taiwan.txt"
TAJ	= "countries/Tajikistan.txt"
TIB	= "countries/Tibet.txt"
TRN	= "countries/Turkestan.txt"
TRK	= "countries/Turkmenistan.txt"
UAE	= "countries/United Arab Emirates.txt"
